zip,lat,lon
75050,32.7459,-96.9978
76010,32.7357,-97.1081
75062,32.8140,-96.9489
75074,33.0198,-96.6989
76102,32.7555,-97.3308
76201,33.2148,-97.1331
75165,32.3865,-96.8483
77449,29.7858,-95.8244
77502,29.6911,-95.2091
77478,29.6197,-95.6349
77520,29.7355,-94.9774
77581,29.5636,-95.2860
77301,30.3119,-95.4561
78130,29.7030,-98.1245
78154,29.5522,-98.2697
78155,29.5688,-97.9647
78666,29.8833,-97.9414
